subsr,chnl_nm,in_dt,use_tms,pgm_nm,SMRY,ACTR_DISP
66504000,TV조선,20240309105622,2,소문난 건강법(36회),"",""
62572000,TV조선,20240309115236,6,소문난 건강법(36회),"",""
60599000,스크린골프존,20240309200951,279,GTOUR도전 끝까지 간다2(4회),"",""
62572000,TV조선,20240309080902,12,반지의 비밀일기 시즌3(3회),"",""
62593000,TV조선,20240309105347,5756,소문난 건강법(36회),"",""
60727000,TV조선,20240309112053,7,소문난 건강법(36회),"",""
64844000,TV조선,20240309105018,136,소문난 건강법(36회),"",""
66504000,TV조선,20240309115202,7,소문난 건강법(36회),"",""
61810000,TV조선,20240309110440,9,소문난 건강법(36회),"",""
65436000,TV조선,20240309115926,100,소문난 건강법(36회),"",""
61251000,TV조선,20240309111433,1,소문난 건강법(36회),"",""
62619000,TV조선,20240309115939,9,소문난 건강법(36회),"",""
62837000,TV조선,20240309105053,5,소문난 건강법(36회),"",""
64994000,TV조선,20240309115715,6,소문난 건강법(36회),"",""
66056000,NHK프리미엄,20240309085552,21,치코짱한테 혼난다,"",오카무라 타카시
65181000,인디필름,20240309163802,6,모스트 데인저러스 게임,직업 사냥꾼이 사냥 게임에서 탈출하는 과정을 그린 모험 영화,"존 해니건,조셉 갯"
67304000,인디필름,20240309165750,1165,모스트 데인저러스 게임,직업 사냥꾼이 사냥 게임에서 탈출하는 과정을 그린 모험 영화,"존 해니건,조셉 갯"
64668000,인디필름,20240309162225,47,모스트 데인저러스 게임,직업 사냥꾼이 사냥 게임에서 탈출하는 과정을 그린 모험 영화,"존 해니건,조셉 갯"
66780000,SBS,20240309081105,71,SBS 뉴스토리,"",""
61880000,인디필름,20240309164445,14,모스트 데인저러스 게임,직업 사냥꾼이 사냥 게임에서 탈출하는 과정을 그린 모험 영화,"존 해니건,조셉 갯"
